term,expected_effect,estimate,std_error_clustered,p_value,q_value_bh,ci_95_low,ci_95_high,recovery_error,abs_recovery_error
has_gap,-0.45,-0.44999999999999873,3.2514484091698133e-15,0.0,0.0,-0.4500000000000051,-0.44999999999999235,1.27675647831893e-15,1.27675647831893e-15
has_gap:frontline,0.0,-1.0935696792557792e-14,4.5123513522754825e-15,0.01537162861398618,0.023911422288422943,-1.9779742928608348e-14,-2.091650656507236e-15,-1.0935696792557792e-14,1.0935696792557792e-14
nontraditional,-0.15,-0.15000000000000055,3.2514484091698224e-15,0.0,0.0,-0.15000000000000693,-0.14999999999999417,-5.551115123125783e-16,5.551115123125783e-16
nontraditional:frontline,0.0,-5.551115123125783e-15,4.512351352275479e-15,0.21862051993236076,0.30606872790530504,-1.4395161259176332e-14,3.2929310129247668e-15,-5.551115123125783e-15,5.551115123125783e-15
signal_a,-0.2,-0.20000000000000434,4.767912251819999e-15,0.0,0.0,-0.2000000000000137,-0.199999999999995,-4.3298697960381105e-15,4.3298697960381105e-15
signal_a_frontline,0.0,-2.1649348980190553e-15,7.006635625394008e-15,0.7573340674303786,0.7573340674303786,-1.589768837658659e-14,1.1567818580548479e-14,-2.1649348980190553e-15,2.1649348980190553e-15
signal_c,-0.35,-0.34999999999999865,3.715776855976616e-15,0.0,0.0,-0.3500000000000059,-0.3499999999999914,1.3322676295501878e-15,1.3322676295501878e-15
signal_c_frontline,-0.2,-0.1999999999999989,5.256383766395841e-15,0.0,0.0,-0.2000000000000092,-0.1999999999999886,1.1102230246251565e-15,1.1102230246251565e-15
signal_d,0.0,-3.58046925441613e-15,4.595619366975863e-15,0.43591796403916416,0.5085709580456915,-1.2587717700343583e-14,5.426779191511323e-15,-3.58046925441613e-15,3.58046925441613e-15
signal_d_frontline,0.0,3.9968028886505635e-15,6.0099885156669684e-15,0.5060334094794583,0.5449590563624935,-7.782558149556033e-15,1.577616392685716e-14,3.9968028886505635e-15,3.9968028886505635e-15
